Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
AMT,American Tower Corporation (REIT) Common Stock,United States,,NYSE,AMT
AMWL,American Well Corporation Class A Common Stock,United States,2020,NYSE,AMWL
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,Mexico,,NYSE,AMX
AN,AutoNation Inc. Common Stock,United States,,NYSE,AN
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,,2021,NYSE,ANAC
ANET,Arista Networks Inc. Common Stock,,2014,NYSE,ANET
ANF,Abercrombie & Fitch Company Common Stock,United States,,NYSE,ANF
ANTM,Anthem Inc. Common Stock,United States,,NYSE,ANTM
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,United States,2007,NYSE,AOD
AOMR,Angel Oak Mortgage Inc. Common Stock,,2021,NYSE,AOMR
AON,Aon plc Class A Ordinary Shares (Ireland),United States,,NYSE,AON
AOS,A.O. Smith Corporation Common Stock,United States,,NYSE,AOS
AP,Ampco-Pittsburgh Corporation Common Stock,United States,,NYSE,AP
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,2013,NYSE,APAM
APD,Air Products and Chemicals Inc. Common Stock,United States,,NYSE,APD
APG,APi Group Corporation Common Stock,,2020,NYSE,APG
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,,2021,NYSE,APGB
APH,Amphenol Corporation Common Stock,United States,,NYSE,APH
APLE,Apple Hospitality REIT Inc. Common Shares,United States,2015,NYSE,APLE
APO,Apollo Global Management Inc. Class A Common Stock,United States,2011,NYSE,APO
APO^A,Apollo Global Management Inc. 6.375% Series A Preferred Shares,United States,,NYSE,APO.A
APO^B,Apollo Global Management Inc 6.375% Series B Preferred Shares,United States,,NYSE,APO.B
APRN,Blue Apron Holdings Inc. Class A Common Stock,United States,2017,NYSE,APRN
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,United States,2020,NYSE,APSG
APTS,Preferred Apartment Communities Inc. Common Stock,United States,2011,NYSE,APTS
APTV,Aptiv PLC Ordinary Shares,United Kingdom,2011,NYSE,APTV
APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,United Kingdom,,NYSE,APTV.A
AQN,Algonquin Power & Utilities Corp. Common Shares,,2016,NYSE,AQN
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,,2018,NYSE,AQNA
