Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
ARBG,Aequi Acquisition Corp. Class A Common Stock,United States,2021,NASDAQ,ARBG
ARBGU,Aequi Acquisition Corp. Unit,United States,2020,NASDAQ,ARBGU
ARBGW,Aequi Acquisition Corp. warrants,United States,2021,NASDAQ,ARBGW
ARCB,ArcBest Corporation Common Stock,United States,,NASDAQ,ARCB
ARCC,Ares Capital Corporation Common Stock,United States,2004,NASDAQ,ARCC
ARCE,Arco Platform Limited Class A Common Shares,Brazil,2018,NASDAQ,ARCE
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,Israel,2013,NASDAQ,ARCT
ARDS,Aridis Pharmaceuticals Inc. Common Stock,United States,2018,NASDAQ,ARDS
ARDX,Ardelyx Inc. Common Stock,United States,2014,NASDAQ,ARDX
AREC,American Resources Corporation Class A Common Stock,United States,,NASDAQ,AREC
ARGX,argenx SE American Depositary Shares,Netherlands,2017,NASDAQ,ARGX
ARKO,ARKO Corp. Common Stock,United States,,NASDAQ,ARKO
ARKOW,ARKO Corp. Warrant,United States,,NASDAQ,ARKOW
ARKR,Ark Restaurants Corp. Common Stock,United States,,NASDAQ,ARKR
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,1999,NASDAQ,ARLP
ARNA,Arena Pharmaceuticals Inc. Common Stock,United States,2000,NASDAQ,ARNA
AROW,Arrow Financial Corporation Common Stock,United States,,NASDAQ,AROW
ARPO,Aerpio Pharmaceuticals Inc. Common Stock,United States,,NASDAQ,ARPO
ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States,2020,NASDAQ,ARQT
ARRW,Arrowroot Acquisition Corp. Class A common stock,United States,2021,NASDAQ,ARRW
ARRWU,Arrowroot Acquisition Corp. Unit,United States,2021,NASDAQ,ARRWU
ARRWW,Arrowroot Acquisition Corp. Warrant,United States,2021,NASDAQ,ARRWW
ARRY,Array Technologies Inc. Common Stock,United States,2020,NASDAQ,ARRY
