Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,United States,,AMEX,PCG.A
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,United States,,AMEX,PCG.B
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,United States,,AMEX,PCG.C
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,United States,,AMEX,PCG.D
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,United States,,AMEX,PCG.E
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,United States,,AMEX,PCG.G
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,United States,,AMEX,PCG.H
PED,Pedevco Corp. Common Stock,United States,,AMEX,PED
PHGE,BiomX Inc. COmmon Stock,,2019,AMEX,PHGE
PLAG,Planet Green Holdings Corp. Common Stock,China,,AMEX,PLAG
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),Canada,,AMEX,PLG
PLM,Polymet Mining Corporation Ordinary Shares (Canada),Canada,,AMEX,PLM
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,Israel,,AMEX,PLX
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,United States,,AMEX,PLYM.A
PRK,Park National Corporation Common Stock,United States,,AMEX,PRK
PTK,PTK Acquisition Corp. Common Stock,United States,2020,AMEX,PTK
PTN,Palatin Technologies Inc. Common Stock,United States,,AMEX,PTN
PW,Power REIT (MD) Common Stock,United States,,AMEX,PW
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,United States,,AMEX,PW.A
PZG,Paramount Gold Nevada Corp. Common Stock,United States,2015,AMEX,PZG
RCG,RENN Fund Inc Common Stock,United States,,AMEX,RCG
REI,Ring Energy Inc. Common Stock,United States,,AMEX,REI
REPX,Riley Exploration Permian Inc. Common Stock,United States,,AMEX,REPX
RHE,Regional Health Properties Inc. Common Stock,,2017,AMEX,RHE
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,,,AMEX,RHE.A
RLGT,Radiant Logistics Inc. Common Stock,United States,,AMEX,RLGT
RMED,Ra Medical Systems Inc. Common Stock,,2018,AMEX,RMED
RVP,Retractable Technologies Inc. Common Stock,United States,,AMEX,RVP
SACC,Sachem Capital Corp. 6.875% Notes due 2024,United States,2019,AMEX,SACC
SACH,Sachem Capital Corp. Common Shares,United States,2017,AMEX,SACH
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,United States,,AMEX,SACH.A
SBEV,Splash Beverage Group Inc. Common Stock,,2021,AMEX,SBEV
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,United States,2019,AMEX,SCCB
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,United States,2020,AMEX,SCCC
SDPI,Superior Drilling Products Inc. Common Stock,,2014,AMEX,SDPI
SEB,Seaboard Corporation Common Stock,United States,1996,AMEX,SEB
SENS,Senseonics Holdings Inc. Common Stock,United States,,AMEX,SENS
SIF,SIFCO Industries Inc. Common Stock,United States,,AMEX,SIF
SILV,SilverCrest Metals Inc. Common Shares,,2018,AMEX,SILV
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,Mexico,1993,AMEX,SIM
SLI,Standard Lithium Ltd. Common Shares,,2021,AMEX,SLI
SMTS,Sierra Metals Inc. Common Stock,,,AMEX,SMTS
SNMP,Evolve Transition Infrastructure LP Common Stock,United States,,AMEX,SNMP
SSY,SunLink Health Systems Inc. Common Stock,United States,,AMEX,SSY
STXS,Stereotaxis Inc. Common Stock,United States,,AMEX,STXS
SVM,Silvercorp Metals Inc. Common Shares,,,AMEX,SVM
SVT,Servotronics Inc. Common Stock,United States,,AMEX,SVT
SYN,Synthetic Biologics Inc. Common Stock,United States,,AMEX,SYN
TGB,Taseko Mines Ltd. Common Stock,Canada,,AMEX,TGB
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),Canada,,AMEX,THM
TKAT,Takung Art Co. Ltd. Common Stock,,,AMEX,TKAT
TMBR,Timber Pharmaceuticals Inc. Common Stock,United States,2015,AMEX,TMBR
TMP,Tompkins Financial Corporation Common Stock,United States,,AMEX,TMP
TMQ,Trilogy Metals Inc. Common Stock,Canada,,AMEX,TMQ
TPHS,Trinity Place Holdings Inc. Common Stock,,,AMEX,TPHS
TRT,Trio-Tech International Common Stock,United States,,AMEX,TRT
TRX,Tanzanian Gold Corporation Common Stock,Canada,,AMEX,TRX
UAMY,United States Antimony Corporation Common Stock,United States,,AMEX,UAMY
UAVS,AgEagle Aerial Systems Inc. Common Stock,United States,,AMEX,UAVS
UEC,Uranium Energy Corp. Common Stock,Canada,,AMEX,UEC
UFAB,Unique Fabricating Inc. Common Stock,United States,2015,AMEX,UFAB
URG,Ur Energy Inc Common Shares (Canada),Canada,,AMEX,URG
USAS,Americas Gold and Silver Corporation Common Shares no par value,,2017,AMEX,USAS
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,United States,2004,AMEX,UTG
UUU,Universal Security Instruments Inc. Common Stock,United States,,AMEX,UUU
UUUU,Energy Fuels Inc Ordinary Shares (Canada),,,AMEX,UUUU
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,United States,1993,AMEX,VCF
VFL,Delaware Investments National Municipal Income Fund Common Stock,United States,1993,AMEX,VFL
VGZ,Vista Gold Corp Common Stock,United States,,AMEX,VGZ
VHAQ,Viveon Health Acquisition Corp. Common Stock,,2021,AMEX,VHAQ
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),United States,,AMEX,VKI
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,United States,1993,AMEX,VMM
VNRX,VolitionRX Limited Common Stock,Singapore,2015,AMEX,VNRX
VOLT,Volt Information Sciences Inc. Common Stock,United States,,AMEX,VOLT
WLMS,Williams Industrial Services Group Inc. Common Stock,,2021,AMEX,WLMS
WRN,Western Copper and Gold Corporation Common Stock,Canada,2011,AMEX,WRN
WTT,Wireless Telecom Group  Inc. Common Stock,United States,,AMEX,WTT
WWR,Westwater Resources Inc. Common Stock,United States,,AMEX,WWR
WYY,WidePoint Corporation Common Stock,United States,,AMEX,WYY
XPL,Solitario Zinc Corp. Common Stock,United States,,AMEX,XPL
XTNT,Xtant Medical Holdings Inc. Common Stock,United States,,AMEX,XTNT
XXII,22nd Century Group Inc. Common Stock,United States,,AMEX,XXII
YCBD,cbdMD Inc. Common Stock,United States,2017,AMEX,YCBD
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,United States,,AMEX,YCBD.A
ZDGE,Zedge Inc. Class B Common Stock ,,2016,AMEX,ZDGE
ZOM,Zomedica Corp. Common Shares,United States,2017,AMEX,ZOM
AACG,ATA Creativity Global American Depositary Shares,China,,NASDAQ,AACG
AAL,American Airlines Group Inc. Common Stock,United States,,NASDAQ,AAL
AAME,Atlantic American Corporation Common Stock,United States,,NASDAQ,AAME
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,NASDAQ,AAOI
AAON,AAON Inc. Common Stock,United States,,NASDAQ,AAON
AAPL,Apple Inc. Common Stock,United States,1980,NASDAQ,AAPL
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,NASDAQ,AAWW
ABCB,Ameris Bancorp Common Stock,United States,1994,NASDAQ,ABCB
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,NASDAQ,ABCL
ABCM,Abcam plc American Depositary Shares,United Kingdom,2020,NASDAQ,ABCM
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,NASDAQ,ABEO
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,2021,NASDAQ,ABGI
ABIO,ARCA biopharma Inc. Common Stock,United States,,NASDAQ,ABIO
ABMD,ABIOMED Inc. Common Stock,United States,,NASDAQ,ABMD
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,NASDAQ,ABNB
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,NASDAQ,ABOS
ABST,Absolute Software Corporation Common Stock,Canada,2020,NASDAQ,ABST
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015,NASDAQ,ABTX
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,NASDAQ,ABUS
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,2004,NASDAQ,ACAD
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021,NASDAQ,ACAH
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States,2021,NASDAQ,ACAHU
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States,2021,NASDAQ,ACAHW
ACB,Aurora Cannabis Inc. Common Shares,Canada,,NASDAQ,ACB
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Hong Kong,2021,NASDAQ,ACBA
