Symbol,Name,Country,IPO Date,Exchange,Cleaned Symbol
BLU,BELLUS Health Inc.,,1900,TSX,BLU
CAL,Caledonia Mining Corporation Plc,,1900,TSX,CAL
MND,Mandalay Resources Corporation,,2006,TSX,MND
GPR,Great Panther Silver Limited,,2003,TSX,GPR
NDM,Northern Dynasty Minerals Ltd,,1996,TSX,NDM
FIRE,Supreme Cannabis Company,,1900,TSX,FIRE
CLIQ,Alcanna Rg,,2004,TSX,CLIQ
JE,Just Energy Group Inc,,2001,TSX,JE
OPS,Opsens Inc.,,1900,TSX,OPS
USA,Americas Silver Corporation,,2006,TSX,USA
DR,Medical Facilities Corporation,,2006,TSX,DR
TRZ,Transat A.T. Inc,,2009,TSX,TRZ
TMD,Titan Medical Inc.,,1900,TSX,TMD
ARG,Amerigo Resources Ltd,,1900,TSX,ARG
TV,Trevali Mining Corporation,,2010,TSX,TV
SGY,Surge Energy Inc,,1998,TSX,SGY
MDNA,Medicenna Therapeutics Corp.,,1900,TSX,MDNA
ALEF,Aleafia Health Inc.,,1900,TSX,ALEF
S,Sherritt International Corporation,,1999,TSX,S
TOT,Total Energy Services Inc,,2009,TSX,TOT
GH,Gamehost Inc,,2006,TSX,GH
BNE,Bonterra Energy Corp,,2008,TSX,BNE
TGOD,Green Org Dutchm Rg,,2018,TSX,TGOD
TLG,Troilus Gold Corp.,,1900,TSX,TLG
NEPT,Neptune Wellness Solutions Inc,,1900,TSX,NEPT
RMX,Rubicon Minerals Corporation,,1900,TSX,RMX
ONC,Oncolytics Biotech Inc.,,1900,TSX,ONC
MYA,Maya Gold And Silver Inc,,2008,TSX,MYA
TGL,Transglobe Energy Corporation,,1900,TSX,TGL
BAR,Balmoral Resources Ltd.,,1900,TSX,BAR
RME,Rocky Mountain Dealerships Inc.,,1900,TSX,RME
CFW,Calfrac Well Services Ltd,,1996,TSX,CFW
ANX,Anaconda Mining Inc.,,1900,TSX,ANX
EFL,Electrovaya Inc.,,1900,TSX,EFL
NMX,Nemaska Lithium Inc,,2010,TSX,NMX
TRST,CannTrust Hldgs Rg,,2017,TSX,TRST
CRDL,Cardiol Therapeutics Inc. Class A,,1900,TSX,CRDL
LABS,Medipharm Labs Corp,,2019,TSX,LABS
STEP,STEP Energy Services Ltd,,2017,TSX,STEP
PONY,Painted Pony Energy Ltd,,2017,TSX,PONY
AEZS,Aeterna Zentaris Inc.,,1900,TSX,AEZS
TML,Treasury Metals Inc.,,1900,TSX,TML
PSD,Pulse Seismic Inc.,,1900,TSX,PSD
MPVD,Mountain Province Diamonds Inc,,1999,TSX,MPVD
NHK,Nighthawk Gold Corp.,,1900,TSX,NHK
ER,Eastmain Resources Inc.,,1900,TSX,ER
IPO,InPlay Oil Corp,,1900,TSX,IPO
EXN,Excellon Resources Inc,,1996,TSX,EXN
AMM,Almaden Minerals Ltd.,,1900,TSX,AMM
PAT,Patriot One Technologies Inc.,,1900,TSX,PAT
GMX,Globex Mining Enterprises Inc.,,1900,TSX,GMX
MBA,CIBT Education Group Inc,,1900,TSX,MBA
ELEF,Silver Elephant Mining Corp,,1900,TSX,ELEF
FT,Fortune Minerals Limited,,1900,TSX,FT
HSM,Helius Medical Technologies Inc. Class A,,1900,TSX,HSM
VIVO,VIVO Cannabis Inc.,,1900,TSX,VIVO
AVCN,Avicanna Inc,,1900,TSX,AVCN
DN,Delta 9 Cannabis Inc.,,1900,TSX,DN
KLS,Kelso Technologies Inc Ordinary Shares,,1900,TSX,KLS
AVL,Avalon Advanced Materials Inc.,,1900,TSX,AVL
CORV,Correvio Pharma Corp.,,2000,TSX,CORV
IN,InMed Pharmaceuticals Inc.,,1900,TSX,IN
PRQ,Petrus Resources Ltd.,,1900,TSX,PRQ
MSV,Minco Silver Corporation,,2005,TSX,MSV
CGT,Columbus Gold Corporation,,1900,TSX,CGT
ASND,Ascendant Resources Inc.,,1900,TSX,ASND
BNP,Bonavista Energy Corporation,,2003,TSX,BNP
BKX,BNK Petroleum Inc.,,1900,TSX,BKX
TAO,TAG Oil Ltd,,1900,TSX,TAO
NRI,Nuvo Pharmaceuticals Inc.,,1900,TSX,NRI
GSV,Gold Standard Ventures Corporation,,1900,TSX,GSV
IMV,IMV Inc.,,1900,TSX,IMV
JOY,Journey Energy Inc.,,1900,TSX,JOY
NOA,North American Construction Group Ltd.,,1900,TSX,NOA
PTM,Platinum Group Metals Ltd.,,1900,TSX,PTM
1832421D,Topicus Inc,,2021,TSX,1832421D
ACO.X,ATCO LTD CLASS I,,2021,TSX,ACO.X
AD.UN,Alaris Equity Partners Income Unit,,2021,TSX,AD.UN
AKU,Akumin Inc.,,1900,TSX,AKU
ALL,Almonty Industries Inc.,,1900,TSX,ALL
APR.UN,Automotive Properties Real Estate,,2021,TSX,APR.UN
ASM,Avino Silver & Gold Mines Ltd.,,1900,TSX,ASM
BAMR,Brookfield Asset Management Reinsu,,2021,TSX,BAMR
BDGI,Badger Infrastructure Solutions Lt,,1997,TSX,BDGI
BEPC,Brookfield Renewable Subordinate V,,2020,TSX,BEPC
BIP.UN,Brookfield Infrastructure Partners,,2021,TSX,BIP.UN
BOS,Airboss Of America Corp,,1992,TSX,BOS
BPY.UN,Brookfield Property Partners LP,,2021,TSX,BPY.UN
CTS,Converge Technology Solutions Corp.,,1900,TSX,CTS
DCBO,Docebo Inc,,2019,TSX,DCBO
DND,Dye And Durham Ltd,,2020,TSX,DND
FCR.UN,First Capital Realty Real Estate I,,2021,TSX,FCR.UN
FCU,Fission Uranium Corp,,2013,TSX,FCU
FGE,Fortress Global Enterprises Inc. Class A,,1900,TSX,FGE
FURY,Fury Gold Mines Limited,,1900,TSX,FURY
GDI,Gdi Integrated Facility Services S,,2001,TSX,GDI
GIB.A,Cgi Inc,,2021,TSX,GIB.A
